target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ILI incidence,IS,2026-04-12,4,quantile,0.1,3.2131626884241706,2026-03-25
ILI incidence,IS,2026-03-22,1,quantile,0.15,3.1107951140977743,2026-03-25
ILI incidence,IS,2026-03-29,2,quantile,0.15,2.9846906012934835,2026-03-25
ILI incidence,IS,2026-04-05,3,quantile,0.15,4.320685553992501,2026-03-25
ILI incidence,IS,2026-04-12,4,quantile,0.15,3.2844049040911423,2026-03-25
ILI incidence,IS,2026-03-22,1,quantile,0.2,3.184054795131581,2026-03-25
ILI incidence,IS,2026-03-29,2,quantile,0.2,3.0573115018150276,2026-03-25
ILI incidence,IS,2026-04-05,3,quantile,0.2,4.3565633452355,2026-03-25
ILI incidence,IS,2026-04-12,4,quantile,0.2,3.3581953197994103,2026-03-25
ILI incidence,IS,2026-03-22,1,quantile,0.25,3.2057980411209837,2026-03-25
ILI incidence,IS,2026-03-29,2,quantile,0.25,3.106657177749762,2026-03-25
ILI incidence,IS,2026-04-05,3,quantile,0.25,4.413001272992059,2026-03-25
ILI incidence,IS,2026-04-12,4,quantile,0.25,3.3847523704467304,2026-03-25
ILI incidence,IS,2026-03-22,1,quantile,0.3,3.224730066612933,2026-03-25
ILI incidence,IS,2026-03-29,2,quantile,0.3,3.1648693383989865,2026-03-25
ILI incidence,IS,2026-04-05,3,quantile,0.3,4.489572847110726,2026-03-25
ILI incidence,IS,2026-04-12,4,quantile,0.3,3.40679419824774,2026-03-25
ILI incidence,IS,2026-03-22,1,quantile,0.35,3.239267979300085,2026-03-25
ILI incidence,IS,2026-03-29,2,quantile,0.35,3.207975268953911,2026-03-25
ILI incidence,IS,2026-04-05,3,quantile,0.35,4.5743507049039245,2026-03-25
ILI incidence,IS,2026-04-12,4,quantile,0.35,3.422823788365882,2026-03-25
ILI incidence,IS,2026-03-22,1,quantile,0.4,3.271557112285201,2026-03-25
ILI incidence,IS,2026-03-29,2,quantile,0.4,3.2489108063089005,2026-03-25
ILI incidence,IS,2026-04-05,3,quantile,0.4,4.662880044247298,2026-03-25
ILI incidence,IS,2026-04-12,4,quantile,0.4,3.429970337373867,2026-03-25
ILI incidence,IS,2026-03-22,1,quantile,0.45,3.3259484996663287,2026-03-25
ILI incidence,IS,2026-03-29,2,quantile,0.45,3.306699784221786,2026-03-25
ILI incidence,IS,2026-04-05,3,quantile,0.45,4.73705229367337,2026-03-25
ILI incidence,IS,2026-04-12,4,quantile,0.45,3.4926825901547076,2026-03-25
ILI incidence,IS,2026-03-22,1,quantile,0.5,3.3653438260123556,2026-03-25
ILI incidence,IS,2026-03-29,2,quantile,0.5,3.368084050666025,2026-03-25
