target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ILI incidence,LU,2026-03-29,2,quantile,0.025,673.0475305797813,2026-03-25
ILI incidence,LU,2026-04-05,3,quantile,0.025,161.22587682185474,2026-03-25
ILI incidence,LU,2026-04-12,4,quantile,0.025,0.0,2026-03-25
ILI incidence,LU,2026-03-22,1,quantile,0.05,1747.2156573316047,2026-03-25
ILI incidence,LU,2026-03-29,2,quantile,0.05,1521.7716119012985,2026-03-25
ILI incidence,LU,2026-04-05,3,quantile,0.05,1193.5496905128896,2026-03-25
ILI incidence,LU,2026-04-12,4,quantile,0.05,624.601656640138,2026-03-25
ILI incidence,LU,2026-03-22,1,quantile,0.1,2641.9417727051746,2026-03-25
ILI incidence,LU,2026-03-29,2,quantile,0.1,2569.6379994346016,2026-03-25
ILI incidence,LU,2026-04-05,3,quantile,0.1,2074.1078147555645,2026-03-25
ILI incidence,LU,2026-04-12,4,quantile,0.1,1481.9266580595809,2026-03-25
ILI incidence,LU,2026-03-22,1,quantile,0.15,3357.4486554973237,2026-03-25
ILI incidence,LU,2026-03-29,2,quantile,0.15,3217.5515025949185,2026-03-25
ILI incidence,LU,2026-04-05,3,quantile,0.15,2718.539711126857,2026-03-25
ILI incidence,LU,2026-04-12,4,quantile,0.15,2160.018945782179,2026-03-25
ILI incidence,LU,2026-03-22,1,quantile,0.2,3763.1219929227796,2026-03-25
ILI incidence,LU,2026-03-29,2,quantile,0.2,3595.308129249594,2026-03-25
ILI incidence,LU,2026-04-05,3,quantile,0.2,3134.7578663247014,2026-03-25
ILI incidence,LU,2026-04-12,4,quantile,0.2,2623.5854188666176,2026-03-25
ILI incidence,LU,2026-03-22,1,quantile,0.25,4149.775249672119,2026-03-25
ILI incidence,LU,2026-03-29,2,quantile,0.25,3993.4575351402723,2026-03-25
ILI incidence,LU,2026-04-05,3,quantile,0.25,3561.455421598027,2026-03-25
ILI incidence,LU,2026-04-12,4,quantile,0.25,3164.8430294136288,2026-03-25
